epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.90352,1.06323,3.43682,1.22369,0.57533,0.85,0.87734,0.63464,1.66715,1.06961,1.38576,0,0,0
2,4.55669,1.52337,2.50632,1.72801,0.58198,0.85,0.84748,0.63282,1.66221,1.05763,1.38276,1.17822e-06,1.17822e-06,1.17822e-06
3,6.15693,1.30852,2.24743,1.85018,0.57697,0.85,0.84867,0.63544,1.67437,1.05531,1.38373,2.33288e-06,2.33288e-06,2.33288e-06
4,7.75991,1.72271,2.98697,1.8943,0.57571,0.85,0.8505,0.6361,1.68057,1.0496,1.38069,3.46397e-06,3.46397e-06,3.46397e-06
5,9.45981,1.36483,3.15526,1.67421,0.6173,0.92223,0.90478,0.64198,1.67864,1.04636,1.37608,4.5715e-06,4.5715e-06,4.5715e-06
6,11.0815,1.53384,4.1205,1.91868,0.55884,0.85,0.85624,0.63746,1.64346,1.04283,1.35366,5.65548e-06,5.65548e-06,5.65548e-06
7,12.7647,1.11613,1.91846,1.31298,0.5715,0.85,0.85764,0.62948,1.6537,1.04294,1.35893,6.71588e-06,6.71588e-06,6.71588e-06
8,14.4054,0.96331,2.97351,1.3349,0.56234,0.85,0.85901,0.63049,1.65164,1.05274,1.35956,7.75273e-06,7.75273e-06,7.75273e-06
9,16.119,1.12195,2.37095,1.39173,0.59091,0.86219,0.86007,0.63003,1.6314,1.04514,1.34812,8.76602e-06,8.76602e-06,8.76602e-06
10,17.7245,1.16875,2.38552,1.61761,0.57859,0.86667,0.89572,0.63373,1.62,1.03961,1.34143,9.75574e-06,9.75574e-06,9.75574e-06
11,19.3613,1.11756,1.92636,1.34669,0.55242,0.86667,0.89524,0.64084,1.61651,1.04427,1.34009,1.07219e-05,1.07219e-05,1.07219e-05
12,20.9116,0.96797,1.93897,1.326,0.57385,0.86667,0.85517,0.63286,1.60552,1.05829,1.33405,1.16645e-05,1.16645e-05,1.16645e-05
13,22.4762,1.03578,3.1012,1.39562,0.6348,0.9402,0.91253,0.65212,1.61376,1.07085,1.33626,1.25835e-05,1.25835e-05,1.25835e-05
14,24.1253,1.02271,2.57862,1.43098,0.65223,0.93895,0.91266,0.65257,1.61521,1.08176,1.33885,1.3479e-05,1.3479e-05,1.3479e-05
15,25.6249,1.22199,2.36642,1.40231,0.63807,0.93593,0.91217,0.64659,1.60868,1.08407,1.33897,1.43509e-05,1.43509e-05,1.43509e-05
16,27.2995,1.08167,1.87346,1.3767,0.64168,0.93672,0.91233,0.64243,1.58984,1.09467,1.33504,1.51993e-05,1.51993e-05,1.51993e-05
17,28.9051,0.89685,1.57726,1.21838,0.65641,0.93731,0.91261,0.64262,1.59118,1.10705,1.33816,1.60241e-05,1.60241e-05,1.60241e-05
18,30.4038,0.9958,1.79155,1.38343,0.65641,0.93731,0.91261,0.64262,1.59118,1.10705,1.33816,1.68253e-05,1.68253e-05,1.68253e-05
19,31.991,0.92683,1.40021,1.21335,0.86362,0.63249,0.87193,0.64063,1.61954,1.13118,1.35357,1.7603e-05,1.7603e-05,1.7603e-05
20,33.5217,0.78677,1.66652,1.23199,0.86362,0.63249,0.87193,0.64063,1.61954,1.13118,1.35357,1.83571e-05,1.83571e-05,1.83571e-05
